Package;Description;Keywords;Type
getlandsat;Get Landsat 8 Data from Amazon Public Data Sets;;api
GetLattesData;Reading Bibliometric Data from Lattes Platform;;api
getTBinR;Get WHO Tuberculosis Data;;api
giscoR;Download Geospatial Data from GISCO API - Eurostat;maps;api
GSODR;Global Summary Daily Weather Data in R;;api
gutenbergr;Download and Process Public Domain Works from Project Gutenberg;;api
hansard;Provides Easy Downloading Capabilities for the UK Parliament API;;api
hkex.api;API to Retrieve Data from Hong Kong Stock Exchange;;api
homologene;Quick Access to Homology Information;;api
hydroscoper;Interface to the Greek National Data Bank for Hydrometeorological Information;;api
ICON;Provides Easy Access to Complex Systems Datasets;network;api
icpsrdata;Reproducible Retrieval from the ICPSR Data Archive;;api
IMFData;R Interface for International Monetary Fund(IMF) Data API;;api
imgw;Polish Meteorological and Hydrological Data;climate;api
insee;Tools to Easily Download Data from INSEE BDM Database;economic;api
jabr;Easy Access for West Java Data;;api
JamendoR;Access to 'Jamendo' API;;api
jaod;Directory of Open Access Journals Client;;api
jstor;Read Data from JSTOR/DfR;;api
Knoema;Interface to the Knoema API;;api
kofdata;Get Data from the 'KOF Datenservice' API;;api
LAGOSNE;Interface to the Lake Multi-Scaled Geospatial and Temporal Database;;api
legco;Accessing Hong Kong Legislative Council API;;api
leri;Access Landscape Evaporative Response Index Raster Data;;api
LIHKGr;Scrape Text Data from LIHKG;text;api
malariaAtlas;An R Interface to Open-Access Malaria Data, Hosted by the 'Malaria Atlas Project';;api
mapsapi;'sf'-Compatible Interface to 'Google Maps' APIs;;api
mapSpain;Administrative Boundaries of Spain;maps;api
matchbook;Wrapper for the 'Matchbook' API;;api
medicare;Tools for Obtaining and Cleaning Medicare Public Use Files;;api
metScanR;Find, Map, and Gather Data from Meteorological Stations;climate;api
metsyn;Interface with the Meteo France Synop Data API;;api
microdemic;'Microsoft Academic' API Client;;api
MODISSnow;Provides a Function to Download MODIS Snow Cover;;api
MODIStsp;A Tool for Automating Download and Preprocessing of MODIS Land Products Data;;api
mregions;Marine Regions Data from 'Marineregions.org';;api
natserv;'NatureServe' Interface;;api
neonstore;NEON Data Store;ecology;api
neonUtilities;Utilities for Working with NEON Data;ecology;api
neurohcp;Human Connectome Project Interface;;api
noaastormevents;Explore NOAA Storm Events Database;;api
nsapi;Connect to the NS (Dutch Railways) API;;api
nse2r;Fetch Data from 'National Stock Exchange (India)';;api
nzelect;New Zealand Election Results;;api
nzilbb.labbcat;Accessing Data Stored in 'LaBB-CAT' Instances;;api
opendatatoronto;Access the City of Toronto Open Data Portal;;api
opendotaR;Interface for OpenDota API;;api
osmdata;Import 'OpenStreetMap' Data as Simple Features or Spatial Objects;;api
owdbr;Open Welfare Data Brazil;;api
owmr;OpenWeatherMap API Wrapper;;api
oxcovid19;An R API to the Oxford COVID-19 Database;covid19;api
parlitools;Tools for Analysing UK Politics;;api
patentsview;An R Client to the PatentsView API;;api
phenocamapi;Interacting with the PhenoCam Data and API;;api
pleiades;Interface to the 'Pleiades' 'Archeological' Database;;api
pmlbr;Interface to the Penn Machine Learning Benchmarks Data Repository;machinelearning;api
podr;Common Functions for 'PHUSE' Open Data Repository;pharmacology;api
polAr;Argentina Political Analysis;government;api
prisonbrief;Downloads and Parses World Prison Brief Data;;api
proPubBills;'ProPublica' U.S. Congress Bills API Wrapper;;api
PWFSLSmoke;Utilities for Working with Air Quality Monitoring Data;climate,environment;api
qqr;Data from Brazilian Soccer Championship;sports;api
qualtRics;Download 'Qualtrics' Survey Data;;api
quickerstats;An 'R' Client for the 'USDA NASS Quick Stats API';agriculture;api
RBMRB;BMRB Data Access and Visualization;;api
rdataretriever;R Interface to the Data Retriever;;api
rdbnomics;Download DBnomics Data;;api
RDota2;An R Steam API Client for Valve's Dota2;;api
readabs;Download and Tidy Time Series Data from the Australian Bureau of Statistics;;api
repec;Access RePEc Data Through API;;api
rerddap;General Purpose Client for 'ERDDAP' Servers;;api
rfacebookstat;Load Data from Facebook API Marketing;;api
rgbif;Interface to the Global 'Biodiversity' Information Facility API;biology;api
riem;Accesses Weather Data from the Iowa Environment Mesonet;;api
Rilostat;ILO Open Data via Ilostat Bulk Download Facility or SDMX Web Service;;api
rnoaa;'NOAA' Weather Data from R;;api
RNRCS;Download NRCS Data;;api
rnrfa;UK National River Flow Archive Data from R;;api
roadoi;Find Free Versions of Scholarly Publications via the oaDOI Service;;api
robis;Ocean Biogeographic Information System (OBIS) Client;;api
Rodam;Wrapper Functions for 'ODAM' (Open Data for Access and Mining) Web Services;;api
rodham;Fetch Hillary Rodham Clinton's Emails;;api
ROMDB;Get 'OMDB' API Multiple Information;;api
ropenaq;Accesses Air Quality Data from the Open Data Platform OpenAQ;;api
ROpenDota;Access OpenDota Services in R;;api
ropercenter;Reproducible Data Retrieval from the Roper Center Data Archive;;api
rotl;Interface to the 'Open Tree of Life' API;;api
rpinterest;Access Pinterest API;;api
RPublica;ProPublica API Client;;api
riingo;An R Interface to the 'Tiingo' Stock Price API;finance;api
rsinaica;Download Data from Mexico's Air Quality Information System;;api
rsoi;El Nino/Southern Oscillation (ENSO) Index;climate;api
rvertnet;Search 'Vertnet', a 'Database' of Vertebrate Specimen Records;;api
rwalkr;API to Melbourne Pedestrian Data;;api
rwunderground;R Interface to Weather Underground API;;api
rwars;R Client for the Star Wars API;starwars;api
rWind;Download, Edit and Transform Wind Data from GFS;;api
sbtools;USGS ScienceBase Tools;;api
scraEP;Scrape European Parliament Careers;;api
seaaroundus;Sea Around Us API Wrapper;;api
shutterstock;Access 'Shutterstock' REST API;;api
sidrar;An Interface to IBGE's SIDRA API;;api
simfinR;Import Financial Data from the 'SimFin' Project;;api
SkyWatchr;Wrapper for the SkyWatch API;;api
slga;Data Access Tools for the Soil and Landscape Grid of Australia;spatial;api
soilcarbon;Tools to Analyze Soil Carbon Database Created by Powell Center Working Group;;api
SP2000;Catalogue of Life Toolkit;biology;api
spotifyr;Pull Track Audio Features from the 'Spotify' Web API;;api
